City_Num,City,Country,"Lat, Long",Lat,Lon,OWM City #,OWM City Name,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,rio gallegos,ar,"(-51.622613, -69.218127)",-51.622613,-69.218127,3838859,Rio Gallegos,49.91,88.875,37.2,12.18325
1,ushuaia,ar,"(-54.8, -68.3)",-54.8,-68.3,3833367,Ushuaia,42.13,98.225,64.6,9.3875
2,punta arenas,cl,"(-53.15, -70.916667)",-53.15,-70.916667,3874787,Punta Arenas,45.09,97.475,57.1,14.12375
3,invercargill,nz,"(-46.4, 168.35)",-46.4,168.35,2189529,Invercargill,54.7,82.975,39,4.3435
4,waitati,nz,"(-45.75, 170.566667)",-45.75,170.566667,2179825,Waitati,53.3,82.6,28.2,3.70575
5,bluff,nz,"(-46.6, 168.333333)",-46.6,168.333333,2206939,Bluff,53.75,97.4,25.1,8.45625
6,wyndham,nz,"(-46.333333, 168.85)",-46.333333,168.85,2178933,Wyndham,54.7,82.975,39,4.3435
7,balclutha,nz,"(-46.233889, 169.75)",-46.233889,169.75,2208248,Balclutha,53.98,75.775,30.4,4.59775
8,edendale,nz,"(-46.316667, 168.783333)",-46.316667,168.783333,2178933,Wyndham,54.7,82.975,39,4.3435
9,outram,nz,"(-45.866667, 170.233333)",-45.866667,170.233333,2186656,Momona,53.3,82.6,28.2,3.70575
10,clyde,nz,"(-45.183333, 169.316667)",-45.183333,169.316667,2192264,Clyde,51.59,77.95,23.1,2.5715
11,te anau,nz,"(-45.416667, 167.716667)",-45.416667,167.716667,2181625,Te Anau,50.96,87.425,44.9,4.03225
12,milton,nz,"(-46.120833, 169.969444)",-46.120833,169.969444,2208242,Milton,53.98,75.775,30.4,4.59775
13,otautau,nz,"(-46.15, 168.0)",-46.15,168,2185296,Otautau,54.92,88.525,42.6,4.63675
14,castro,cl,"(-42.463611, -73.808333)",-42.463611,-73.808333,3889146,Gamboa,52.43,93.875,76.8,6.45675
15,wanaka,nz,"(-44.7, 169.15)",-44.7,169.15,2184707,Wanaka,51.59,77.95,23.1,2.5715
16,ulverstone,au,"(-41.160259, 146.182419)",-41.160259,146.182419,2145532,Ulverstone,53.66,89.575,65,12.136
17,burnham,nz,"(-43.616667, 172.316667)",-43.616667,172.316667,2192797,Burnham,58.93,88.275,48.5,7.70425
18,tuatapere,nz,"(-46.133333, 167.683333)",-46.133333,167.683333,2180815,Tuatapere,52.76,97.825,38.9,6.78975
19,seddon,nz,"(-41.666667, 174.083333)",-41.666667,174.083333,6243932,Riverlands,56.69,98.925,52.5,6.879
20,sanson,nz,"(-40.216667, 175.416667)",-40.216667,175.416667,2182968,Sanson,57.94,96.725,58,13.30225
21,palmerston north,nz,"(-40.35, 175.616667)",-40.35,175.616667,2181258,Terrace End,58.84,90.25,62.3,8.3255
22,osorno,cl,"(-40.566667, -73.15)",-40.566667,-73.15,3877949,Osorno,55.04,92.025,76.1,5.18725
23,bulls,nz,"(-40.166667, 175.383333)",-40.166667,175.383333,2192828,Bulls,57.94,96.725,58,13.30225
24,sefton,nz,"(-43.25, 172.666667)",-43.25,172.666667,2182867,Sefton,55.87,91.725,42.9,7.04475
25,riverton,nz,"(-46.35, 168.016667)",-46.35,168.016667,2206957,Riverton,54.92,88.525,42.6,4.63675
26,takaka,nz,"(-40.85, 172.8)",-40.85,172.8,2181997,Takaka,55.46,98.3,59.6,7.6595
27,rongotea,nz,"(-40.3, 175.416667)",-40.3,175.416667,2183299,Rongotea,57.94,96.725,58,13.30225
28,otaki,nz,"(-40.758333, 175.15)",-40.758333,175.15,2206372,Otaki,54.61,99.1,64.2,9.379
