,Neighborhood,House Value,Median Rent,POPULATION_2010,PCT_WHITE,DENVER_REGION,% Slower Rush Hour Drive AM-to-Downtown,Transit % Slower AM-to-Downtown,% Slower Rush Hour Drive PM-from-Downtown,Transit % Slower PM-from-Downtown,% Slower Rush Hour Drive AM-to-DU,Transit % Slower AM-to-DU,% Slower Rush Hour Drive PM-from-DU,Transit % Slower PM-from-DU,% Slower Rush Hour Drive AM-to-DTC,Transit % Slower AM-to-DTC,% Slower Rush Hour Drive PM-from-DTC,Transit % Slower PM-from-DTC,% Slower Rush Hour Drive AM-to-CU-Boulder,Transit % Slower AM-to-CU-Boulder,% Slower Rush Hour Drive PM-from-CU-Boulder,Transit % Slower PM-from-CU-Boulder,Average % Slower Rush Hour Drive,Average Transit % Slower
0,Montbello,174000,1854,30348,8.17,Northeast,91.23076923,84.23169751,87.26625111,97.66999524,58.13656669,118.5230024,50.79255686,145.6124314,49.22509225,124.7279921,36.72456576,220.9316394,69.95537928,100.4084014,47.54176611,106.5998059,61.35911841,124.8381207
1,Gateway - Green Valley Ranch,208600,1951,29201,23.98,Northeast,82.77634961,44.4092827,77.70419426,94.69979296,63.37943476,113.249908,48.03680982,148.9846664,56.44383184,200.3524229,35.87896254,205.3552492,16.80900621,102.5922233,4.31547619,149.1797432,48.16800815,132.3529111
2,Hampden,297900,2138,17547,66.96,Southeast,56.15972812,66.43090316,44.53900709,45.14229637,29.08415842,179.4822627,44.60431655,121.641791,9.702660407,107.5606277,18.16745656,108.2887701,47.74990044,106.2803235,51.10602593,59.11155982,37.63915669,99.24231678
3,Westwood,152600,1675,15486,11.39,West,38.95274585,97.79411765,12.09039548,137.8024194,16.45101664,108.968254,10.6324473,160.9776305,88.41166937,87.31182796,75.33432392,93.1779661,39.91497402,101.4179608,39.92901508,94.22954978,40.21457346,110.2099658
4,Capitol Hill,197600,1534,14708,78.56,Central,5.080831409,72.08791209,13.85281385,123.1939163,21.66105499,102.6752768,19.89795918,159.9148936,52.433281,84.91246138,38.05855162,105.9709821,36.31653321,46.64823773,39.24107143,43.44341135,28.31776209,92.35588643
5,Hampden South,323400,2136,14370,72.44,Southeast,50.73720729,78.02071346,45.22431259,52.36671649,30.02512563,117.3913043,44.8574969,121.471343,0.209205021,305.8455115,13.64522417,213.8936535,45.99919582,93.1148444,51.69622205,62.18551461,35.29924868,130.5362002
6,Mar Lee,180100,1802,12452,24.21,West,29.8,86.05546995,29.33467742,85.11301637,19.66292135,113.8028169,13.11659193,146.6798811,35.15815085,84.20342034,52.93276109,82.08606174,14.59403905,102.4215247,17.10339943,95.978228,26.46281764,99.54255238
7,Windsor,118300,1414,12589,54.84,East,22.70773639,86.2813777,24.65838509,85.1021425,21.25317528,190.0139665,37.6443418,75.05592841,7.376425856,203.0453258,16.74174174,130.6109325,51.76424971,97.03628002,51.72283226,65.68505116,29.23361102,116.6038756
8,Five Points,336900,2154,12712,56.95,North,5.882352941,55.18518519,10.46025105,31.06060606,26.79127726,57.98525799,38.80484115,60.76294278,45.83083383,51.70711641,48.28478964,63.3347883,44.13529733,46.82059046,29.02401635,71.04950495,31.15170744,54.73824902
9,Virginia Village,309000,2143,12844,65.81,East,14.74654378,107.6305221,48.71541502,70.89700997,10.65759637,219.8770492,22.68907563,216.7808219,50.07032349,150.8903468,51.20567376,178.7054409,47.14617169,99.68464207,54.77845352,88.57704182,37.50115666,141.6303593
10,Washington Virginia Vale,272600,2005,13030,61.42,East,17.46835443,82.25574713,41.65946413,90.90909091,10.03236246,104.4117647,20.70437567,183.2891247,20.50092764,88.06774442,44.12041392,60.96605744,44.00612792,63.69680851,43.84846212,55.28031291,30.29256104,91.10958134
